title,product_price,special_price,stock_status,brand,product_model,warranty,short_description,chipset,memory,storage,battery,operating_system,color
LENOVO IP FLEX 5i 14-Inch IPS WVA Touchscreen Display Core I7 11th Gen 16GB Ram 512GB SSD With NVIDIA MX450 GDDR6 Graphics Laptop (3 Years Warranty),"145,000৳","143,000৳",In Stock,Lenovo,IdeaPad FLEX 5i,3 Years,"['Intel 11th gen Core i7-1165G7 Processor', '16GB DDR4 3200 MHz RAM', '512GB M.2 NVME SSD', 'NVIDIA MX450 GDDR6 2GB+ INTEL IRIS Xe GFX', '14"" 1920 x 1080 IPS-Type WVA Touchscreen']",Firmware TPM 2.0,16 GB Soldered DDR4 3200MHz RAM,512GB M.2 NVME SSD,"3 Cell, 52.5Wh, Upto 10 Hours",Windows 10,Abyss Blue
HP PROBOOK 440 G8 14-INCH FHD IPS DISPLAY CORE I7 11TH GEN 8GB RAM 512 GB SSD LAPTOP,"114,000৳","143,000৳",In Stock,HP,ProBook 440 G8,3 Years,"['Intel Core i7-1165G7 Processor', '512GB M.2 NVME SSD', 'Intel Iris Xe Graphics', ""14'' FHD (1920 × 1080)""]",Intel,8GB DDR4 RAM (Extra Ram Slot Available),512GB M.2 NVME SSD,"Up To 12 Hours And 45 Minutes (UMA Graphics, Intel 11th Generation CPU And 3-Cell 45 Wh Battery)",Windows 10 Home,Silver
DELL INSPIRON 15 3525 RYZEN 5 5625U 15.6 INCH FULL HD 120HZ DISPLAY 8GB RAM 512GB SSD LAPTOP,"71,500৳","143,000৳",In Stock,Dell,Inspiron 15 3525,2 Years,"['AMD Ryzen 5 5625U', '15.6 Inch Full HD Display', '8GB RAM DDR4 Memory', '512GB M.2 PCIe NVMe SSD']",Intel,8GB DDR4 3200MHz (Support Upto 32GB ),512GB M.2 PCIe NVMe SSD (Installed SSD Can Be Upgradeable),"3-Cell Battery (Integrated)
Battery Capacity 41WHr",Windows 11 Home,Black
LENOVO V15 GEN 4 RYZEN 5 7520U 8GB RAM 512GB SSD 15.6 INCH FHD DISPLAY LAPTOP,"62,800৳","57,500৳",In Stock,Lenovo,V15 GEN4,2 Year,[],Intel,8GB Soldered LPDDR5-5500,"512GB SAMSUNG SSD M.2 2242 GEN-4 PCIe® 4.0x4 NVMe®, MAX-2TB",2-Cell Li-Ion (38 Whr) Battery With Up To 6.5 Hours Backup Time,Free DOS,Arctic Grey
Lenovo IdeaPad Slim 3i 15IRU8 Intel Core I3 1305U 13th Gen 8GB DDR5 RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop (82X7008ALK),"70,000৳","67,500৳",In Stock,Lenovo,IdeaPad Slim 3i 15IRU8,2 Year'S,"['Intel Core i3 13th Gen Processor', '15.6 Inch FHD (1920x1080) Display', '8GB RAM | 512GB SSD', 'Intel UHD Graphics']",Intel,8GB Soldered LPDDR5-5500,512GB SSD (Upgrade Up To 1TB),2-Cell Li-Ion (38 Whr) Battery With Up To 6.5 Hours Backup Time,Free DOS,Arctic Grey
Lenovo IdeaPad 3 14ALC6 AMD Ryzen 3 5425U 8GB RAM 1TB HDD & 256GB SSD 14 Inch FHD Display Grey Laptop,"55,000৳","67,500৳",In Stock,Lenovo,IdeaPad 3 14ALC6,2 Years,"['AMD Ryzen™ 3 5300U ', '8GB RAM | 1TB + 256GB SSD', '14 Inch FHD DISPLAY', 'AMD RADEON GRAPHICS']",Intel,8GB Soldered LPDDR5-5500,512GB SSD (Upgrade Up To 1TB),2-Cell Li-Ion (38 Whr) Battery With Up To 6.5 Hours Backup Time,FreeDos,Arctic Grey
"HP VICTUS 15-FA0157TX 15.6"" FHD 144HZ IPS DISPLAY INTEL I7 12TH GEN 16 GB RAM 512 GB SSD GAMING LAPTOP WITH NVIDIA GEFORCE RTX 3050 4GB GRAPHICS","138,000৳","67,500৳",In Stock,HP,VICTUS 15-Fa0157TX,2 Years,"['Intel Core i7 12th Generation', 'NVIDIA GeForce RTX 3050', '16 GB DDR4-3200 MHz RAM', '512 GB PCIe Gen4 NVMe TLC M.2 SSD']",Intel Core I7 Processor 12th Generation,16 GB DDR4-3200 MHz RAM (2 X 8 GB),512 GB PCIe Gen4 NVMe TLC M.2 SSD,"Battery Type- 4-Cell, 70 Wh Li-Ion Polymer
Battery Life- Up To 8 Hours And 15 Minutes
Battery Recharge Time- Supports Battery Fast Charge: Approximately 50% In 30 Minutes
200 W Smart AC Power Adapter",Windows 11 Home,Performance Blue
HP SPECTRE X360 CONVERTIBLE 14 13.5 INCH WUXGA+ DISPLAY INTEL CORE I7 13TH GEN 16GB RAM 512GB SSD TOUCH LAPTOP,"152,000৳","67,500৳",In Stock,HP,SPECTRE X360 14-E2027TU,1 Year,"['Intel Core i7-1355U ', '13.5 inch WUXGA+ ', 'RAM 16GB LPDDR4x', 'Storage Capacity 512GB SSD']",Intel Integrated SoC,16GB (Onboard) LPDDR4x 4266 MHz,512GB PCIe Gen4 NVMe TLC M.2,"4-Cell, Li-Ion Polymer
Battery Capacity 66 Wh",Windows 11 Home,"Silver
Black"
HP Probook 450 G10 Intel Core I7 1355U 13th Gen 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop (843Z5PA),"118,500৳","67,500৳",In Stock,HP,Probook 450 G10,3 Year'S,"['Intel Core i7 13th Gen processor', '15.6"" FHD IPS Display', '8GB RAM | 512GB SSD', 'Intel UHD Graphics']",Intel Integrated SoC,16GB (Onboard) LPDDR4x 4266 MHz,512GB PCIe Gen4 NVMe TLC M.2,"4-Cell, Li-Ion Polymer
Battery Capacity 66 Wh",FreeDOS,Pike Silver Aluminum
HP Probook 450 G10 Intel Core I5 1335U 13th Gen 8GB RAM 512GB SSD 15.6 Inch FHD IPS Display Silver Laptop (843Z1PA),"93,500৳","67,500৳",In Stock,HP,Probook 450 G10,3 Year'S,"['Intel Core i5 13th Gen processor', '15.6"" FHD IPS Display', '8GB RAM | 512GB SSD', 'Intel UHD Graphics']",Intel Integrated SoC,16GB (Onboard) LPDDR4x 4266 MHz,512GB PCIe Gen4 NVMe TLC M.2,"4-Cell, Li-Ion Polymer
Battery Capacity 66 Wh",Windows 11 Home Single Language,Pike Silver Aluminum
